"site_id","building_id","floor_id","apartment_id","bfa","room_number","cluster","keep"
471,1121,4932,"630d660d8ca1a938db9510faef65556a","1121_4932_630d660d8ca1a938db9510faef65556a",1,37,FALSE
1222,3399,15240,"0dc3c90c047387c4ef2f84a837e4741e","3399_15240_0dc3c90c047387c4ef2f84a837e4741e",1,37,TRUE
1222,3399,15241,"8ae8273b01bca64383968c0196af4b8d","3399_15241_8ae8273b01bca64383968c0196af4b8d",1,37,TRUE
1222,3399,15242,"b5cfd70ea4df47c41f14322e056012bb","3399_15242_b5cfd70ea4df47c41f14322e056012bb",1,37,FALSE
1222,3399,15243,"51757cf18c64b222ac3fd292ca8cbe8d","3399_15243_51757cf18c64b222ac3fd292ca8cbe8d",1,37,FALSE
1222,3399,15244,"1533360f0e4ac9cf68ff8a7d142fc872","3399_15244_1533360f0e4ac9cf68ff8a7d142fc872",1,37,TRUE
471,1121,4931,"2fb98f28aa675503730fad1dcb33c87c","1121_4931_2fb98f28aa675503730fad1dcb33c87c",1,38,TRUE
471,1121,4931,"97548ba69b41c31ec0928204bbb95237","1121_4931_97548ba69b41c31ec0928204bbb95237",1,38,FALSE
471,1121,4932,"02292f2d482d5f1334c5272d12a8fff0","1121_4932_02292f2d482d5f1334c5272d12a8fff0",1,38,FALSE
471,1121,4932,"a8c9ee3e1660c2c3a3d72e04dd31fdac","1121_4932_a8c9ee3e1660c2c3a3d72e04dd31fdac",1,38,FALSE
471,1121,4933,"c10747b702bf43fe2de301cbb40f48e6","1121_4933_c10747b702bf43fe2de301cbb40f48e6",1,38,FALSE
471,1121,4933,"4fbf185fb79d9586e1afbb6cd90ebf0e","1121_4933_4fbf185fb79d9586e1afbb6cd90ebf0e",1,38,FALSE
471,1121,4934,"7fbe010189c3dc1cb057eb6c2fbcac93","1121_4934_7fbe010189c3dc1cb057eb6c2fbcac93",1,38,FALSE
471,1121,4934,"9f536b71360ab5343d244ec659edded4","1121_4934_9f536b71360ab5343d244ec659edded4",1,38,FALSE
471,1121,4931,"49d12993f00b304d2a35fa8a4f0b0453","1121_4931_49d12993f00b304d2a35fa8a4f0b0453",1,39,TRUE
471,1121,4933,"3069380b2cefcd14e7d5b4b5da0ebebf","1121_4933_3069380b2cefcd14e7d5b4b5da0ebebf",1,39,FALSE
471,1121,4934,"c6af168718506e9a495cd67f86958814","1121_4934_c6af168718506e9a495cd67f86958814",1,39,TRUE
471,1122,4936,"874245473d60252df5eb329e82b36590","1122_4936_874245473d60252df5eb329e82b36590",1,40,TRUE
471,1122,4936,"d24e599cde74466b19ef228287de484f","1122_4936_d24e599cde74466b19ef228287de484f",1,41,TRUE
471,1122,4937,"11cc863b913f80902812dcca9dbd3031","1122_4937_11cc863b913f80902812dcca9dbd3031",1,42,TRUE
471,1122,4938,"e2822a5ce983e02a19b6d1679c98ea6b","1122_4938_e2822a5ce983e02a19b6d1679c98ea6b",1,42,FALSE
471,1122,4939,"dfcefae12cb7e1e4cabd5a9dddcafcc3","1122_4939_dfcefae12cb7e1e4cabd5a9dddcafcc3",1,42,FALSE
471,1122,4940,"dc1ccf03807be960c6401f7eae355485","1122_4940_dc1ccf03807be960c6401f7eae355485",1,42,TRUE
471,1122,4941,"4df88ed226a5c012f48446767c5c40c3","1122_4941_4df88ed226a5c012f48446767c5c40c3",1,42,TRUE
471,1123,4944,"b1df43b400e4f3869057c884e1cae155","1123_4944_b1df43b400e4f3869057c884e1cae155",1,43,TRUE
471,1123,4944,"e5f54bc3b24c75625f412696c35095d2","1123_4944_e5f54bc3b24c75625f412696c35095d2",1,43,TRUE
471,1123,4945,"ea5137a61d4ab94c75ee9295c4216abd","1123_4945_ea5137a61d4ab94c75ee9295c4216abd",1,43,FALSE
471,1123,4945,"9f8876c7907844950267157234dc7d40","1123_4945_9f8876c7907844950267157234dc7d40",1,43,FALSE
471,1123,4946,"7e13b3e8de90bf7db19d7526d2b6243b","1123_4946_7e13b3e8de90bf7db19d7526d2b6243b",1,43,FALSE
471,1123,4946,"3e06dda0bf8ca9f2eda68f8671161ae1","1123_4946_3e06dda0bf8ca9f2eda68f8671161ae1",1,43,FALSE
471,1123,4947,"8e0d6770883ec02312cc62f514ad44a6","1123_4947_8e0d6770883ec02312cc62f514ad44a6",1,43,FALSE
471,1123,4947,"b95d3234bb16079d52a9670b11b84b6c","1123_4947_b95d3234bb16079d52a9670b11b84b6c",1,43,FALSE
471,1123,4948,"2336ee6aaa01a15aef5af641690b3a80","1123_4948_2336ee6aaa01a15aef5af641690b3a80",1,43,TRUE
471,1123,4948,"1a8194cc7197d73a6f3b2389f5653f43","1123_4948_1a8194cc7197d73a6f3b2389f5653f43",1,43,TRUE
478,1129,4970,"87b1aa1f5b6ab9d1a4fb730daaf598da","1129_4970_87b1aa1f5b6ab9d1a4fb730daaf598da",1,44,TRUE
478,1129,4971,"b1a615e1b5363cc8ae0dab9142e6a9c2","1129_4971_b1a615e1b5363cc8ae0dab9142e6a9c2",1,44,FALSE
478,1129,4972,"989104e85934cca6db7d2d0093f117da","1129_4972_989104e85934cca6db7d2d0093f117da",1,44,FALSE
478,1129,4973,"3c7a1e41b78997825813e4b9d47d7ba2","1129_4973_3c7a1e41b78997825813e4b9d47d7ba2",1,44,FALSE
478,1129,4974,"b32c092c31ebc45db7c849a1c44ee5b8","1129_4974_b32c092c31ebc45db7c849a1c44ee5b8",1,44,FALSE
478,1129,4975,"8f94d3bc406aea0ee1d48d1bfc169576","1129_4975_8f94d3bc406aea0ee1d48d1bfc169576",1,44,FALSE
