id,number_of_rooms,corridor_area_ratio,largest_room_sunlight,largest_room_noise,largest_room_kitchen_distance,kitchen_sunlight,has_second_bathroom,bathroom_has_window,has_loggia,has_balcony
1002_4260_076e9ecee532c160da10ba2f6b74cac9,5.0,0.0564410735265205,0.4246179527818807,56.767438041740704,1.75,2.4894617862171597,1,1,0,0
1004_4261_7c253417f6f0e65231c0a52aff0e4d2b,3.0,0.0719728134622398,0.7872399598445187,46.26587088464345,1.5,1.8726243765817745,0,0,0,0
1004_4261_7f22b334dafc9091467c1c8b357bd361,2.0,0.1426749235293553,0.3599751300852556,50.897951319090105,2.5,1.001346134477192,0,1,0,0
1004_4261_edf2bfb87247e4b13d72cdf1206d4bdb,3.0,0.0725017681992608,0.6744099454686352,48.83365203131665,1.75,2.167722144060664,0,0,0,0
1004_4262_c5c28edd1070b85471a3a6693f0ff6ca,3.0,0.0725017681992608,0.7326920970965357,48.85352666159237,1.75,2.1734828791684566,0,0,0,0
1005_4249_74d92c5a9a4977a8156d7813a21794f6,3.0,0.0719747230612284,0.2139722124951865,53.12256209738285,1.75,1.0032442369394838,0,0,0,0
1005_4249_90760340a735c3846003156b52973b72,2.0,0.14395553815313,0.903464546046643,52.448148982988656,2.5,2.3916607846816382,0,1,0,0
1005_4249_e3421513b7aab6683746d3ebb6280d56,3.0,0.0722999435280016,0.3344592063250824,55.278572262708,1.5,1.1735155714882748,0,1,0,0
1005_4250_dd01dec8920ae2217e6e074058023c0b,2.0,0.14395553815313,1.049791930616717,52.451982390836,2.5,2.456054929229948,0,1,0,0
1005_4251_f14583f77ec1ea3dcfcddd2bd1c176f3,3.0,0.0722999435280016,0.4356132560735671,55.2712383430626,1.5,2.7540661709176177,0,1,0,0
1006_4274_6e4c41f7808af6742d683c69ede40786,3.0,0.0997056208642965,1.1240822231922043,47.74455865528545,0.25,0.2242414580865038,0,1,0,1
1006_4274_b099634ec01993fac0dd6696dd9f2193,4.0,0.1405500914660334,0.3575183001944862,54.265449647970925,0.25,0.2889997112668222,1,1,0,1
1006_4274_dd2eab0acb6606fa50248d065c060559,3.0,0.1014327454419659,0.4413803512114376,59.27671649084833,0.25,0.0,0,1,0,1
1006_4275_104d3eaefc399a744ff7567abe332f68,4.0,0.1409241927771972,0.1867562194361972,54.26278236965145,0.5,0.6830081687205368,0,1,0,1
1006_4275_5c16c02387110d0984b413d907e751f7,4.0,0.1401084840573623,0.1826555657504319,52.38783444291273,0.25,0.8656540877289235,0,1,0,1
1006_4275_80dcb178992a1fd636c58c0d83cc398a,3.0,0.1008774411778142,0.2431088567669943,58.522890541485175,0.5,0.3564985847721497,0,1,0,1
1006_4275_83076240a402c455fae1dd5d2cb3f5cf,3.0,0.1001179616476558,0.8373505079866096,46.8256855765211,0.5,0.3437546400560274,0,1,0,1
1006_4277_22656471dfa430870df9a72b023a4c8c,3.0,0.1011793470681236,0.6557254880606351,59.17508964638812,0.5,0.8497435251871741,0,1,0,1
1006_4277_4def4f88d01a297bbe72a675ec93c4de,4.0,0.1412368920284906,0.5708333696235747,52.28386537818339,0.25,0.3382571219570106,1,1,0,1
1006_4277_df49ec5a76f9bdf009b9eccef8f2edbb,4.0,0.1413950050342313,0.5339718832304823,57.08765086523285,0.25,0.2759932349953385,1,1,0,1
1007_4285_7140a4c82f408f417247aed4db7b8ae7,3.0,0.0992636517863776,0.8621976940520968,58.71592710291792,0.25,0.8623088391290767,0,1,0,1
1007_4285_e9a65d51a3be7c47a30f5bf2d5beba15,4.0,0.1398259137322844,0.2383488675549123,48.647220668106975,0.25,0.2390480401615301,1,1,0,1
1007_4285_fe87f2a549928f572eeb536c6155d80e,3.0,0.099703492252719,0.7117651717047959,45.235663159953226,0.25,0.8234546557068829,0,1,0,1
1007_4286_824d338102335bf4a84967ba62b0f680,4.0,0.1400212453871276,0.4002430814974886,56.03356519959505,0.25,0.4384715466035739,1,1,0,1
1007_4286_84d45c6ada2ac852e78a47e3df044c8c,3.0,0.1004731070490512,0.8011187268109699,44.49089871531277,0.25,1.260606067048179,0,1,0,1
1007_4286_a602c23bbd1c061dea0628164f80f2b0,3.0,0.0993804577432543,1.1256992797460583,58.72007859324465,0.5,1.294031740890608,0,1,0,1
1007_4286_e8a7c0a38c19ef7fbfb4e8434e37c1f5,4.0,0.1396949235640245,0.5066539585621986,51.71725903720015,0.25,0.5863908630692298,1,1,0,1
